,INTERACTOR_A,INTERACTOR_B
881,Prkar2a,CDK5RAP2
882,Prkar2b,CDK5RAP2
883,Uso1,CDK5RAP2
884,Fgfr1op,CDK5RAP2
885,Actb,AHNAK
886,Bmpr1a,AHNAK
887,Anxa2,AHNAK
888,Ppp1cb,AHNAK
889,Coro1c,AHNAK
890,Lima1,AHNAK
891,Kctd5,AHNAK
892,Calml3,AHNAK
893,Fam83d,AHNAK
894,Erp44,AHNAK
895,Flnb,AHNAK
896,Anxa2,AHNAK2
897,Shoc2,AHNAK2
898,Cul4a,AHNAK2
899,MSH2,MSH6
900,FOXB1,POLE
901,FOXB1,RIF1
902,FOXC2,RIF1
903,FOXE1,POLE
904,FOXE1,RIF1
905,FOXG1,POLE
906,FOXG1,RIF1
907,GAN,PLEC
908,GAN,BCLAF1
909,SKI,PLEC
910,SKI,AHNAK
911,SKI,HSPG2
912,FOXL1,RIF1
913,FOXL1,POLE
914,FBXW7,MED13
915,ALKBH3,RIF1
916,ALKBH3,BCLAF1
917,FOXQ1,POLE
918,ASXL3,BAP1
919,BAP1,ASXL3
920,MCM2,PLEC
921,MCM2,AHNAK
922,MCM2,HSPG2
923,Ksr1,MSH6
924,USP37,RIF1
925,SNW1,POLE
926,SNW1,MSH6
927,SNW1,PLEC
928,SNW1,RIF1
929,SNW1,AHNAK
930,CDC5L,MSH6
931,CDC5L,PLEC
932,CDC5L,RIF1
933,CDC5L,AHNAK
934,RNF126,MSH6
935,FAF2,MSH6
936,EGFR,AHNAK
937,NANOG,BCLAF1
938,POU5F1,MSH6
939,ZMIZ1,BCLAF1
940,U2AF2,AHNAK
941,CCNB1,BCLAF1
942,POLE,PCNA
943,ATOH1,PLEC
944,TSC22D2,MED13
945,ZNF131,AHNAK
946,KDM6A,MSH6
947,RYR1,ANK1
948,ZNF746,MSH6
949,CDH1,PLEC
950,CDH1,AHNAK
951,EGFR,TNC
952,EGFR,BCLAF1
953,PPP1CA,RIF1
954,PPP1CC,RIF1
955,PPP3CB,AHNAK
956,TNS1,BABAM1
957,TNS1,BRCC3
