,INTERACTOR_A,INTERACTOR_B
976,SMAD9,DST
977,SMAD9,PLEC
978,SMAD3,FLNA
979,SMAD1,KMT2D
980,SMAD1,PIGQ
981,ZNF512B,PDE4DIP
982,PRKD2,DST
983,SMURF2,DGCR2
984,IKBKG,ATM
985,IKBKG,ATM
986,USO1,PDE4DIP
987,ATM,Bid
988,PPP1CA,PHRF1
989,ITGA4,FLNA
990,ITGA4,HEATR1
991,ITGA4,PLEC
992,gag-pol,POLE
993,gag-pol,HEATR1
994,tat,FBN2
995,CBX6,AHDC1
996,CBX6,NUMA1
997,MYBL2,FLNA
998,MYBL2,FLNA
999,MYBL2,FLNA
1000,PLK3,CENPU
1001,ATM,Bid
1002,ATM,EIF4EBP1
1003,ATM,TP53
1004,ATM,CHEK2
1005,ATM,RPA1
1006,ATM,RPA2
1007,MMS19,POLE
1008,MMS19,FANCI
1009,MMS19,ADD1
1010,MMS19,DST
1011,PHB,PLEC
1012,USP19,FLNA
1013,SLC12A3,HSP90AA1
1014,SLC12A3,HSPA1A
1015,SLC12A3,DNAJB1
1016,SLC12A3,HSPA8
1017,SLC12A3,ACTB
1018,SLC12A3,HSP90AA1
1019,SLC12A3,HSPA1A
1020,SLC12A3,DNAJB1
1021,SLC12A3,STIP1
1022,SLC12A3,STUB1
1023,STUB1,SLC12A3
1024,MPG,OBSCN
1025,PAN2,FLNA
1026,PAN2,PLEC
1027,ATM,HLA-A
1028,KIAA0101,NUMA1
1029,FLNA,IGSF8
1030,FLNA,CD81
1031,FLNA,ICAM1
1032,FLNA,IGSF8
1033,FLNA,CD81
1034,FLNA,ICAM1
1035,FLNA,BSG
1036,CD81,FLNA
1037,IGSF8,FLNA
1038,ICAM1,FLNA
1039,NPM1,FLNA
1040,SOX2,CUL9
1041,SOX2,MDN1
1042,CCDC57,NUMA1
1043,LMNA,FLNA
1044,LMNA,NUMA1
1045,HDAC11,HEATR1
1046,HDAC11,MDN1
1047,HDAC6,ATM
1048,BAI1,PDZD2
1049,ADRB2,FLNA
1050,BAG3,PLEC
1051,ATP4A,AHNAK
1052,PEG3,PEG3
1053,ATM,SOG1
1054,ATM,TP53
1055,KRT18,PDE4DIP
1056,LAMC3,RPL35
1057,FRAT1,LAMC3
1058,CRP,LAMC3
1059,CFB,LAMC3
1060,LAMC3,SLC43A3
1061,LAMC3,TF
1062,LAMC3,SERPINA3
1063,PDE4DIP,PIAS4
1064,LAMC3,LGMN
1065,LAMC3,NR1H2
1066,LAMC3,POT1
1067,LAMC3,PELI2
1068,LAMC3,ZNF160
1069,LAMC3,YTHDC1
1070,ABCC2,MCPH1
1071,CSNK2B,PHRF1
1072,ATP12A,GNAI3
1073,ADH1B,PDE4DIP
1074,BCAT2,PTGDS
1075,MCPH1,PHF11
1076,ANXA5,LAMC3
1077,CSNK2A2,LAMC3
1078,CYP2E1,LAMC3
1079,HP,LAMC3
1080,KIF1C,LAMC3
1081,EPB41L4B,LAMC3
1082,CWC25,LAMC3
1083,MCPH1,TADA2A
1084,CHD1L,SCYL1
1085,ALDOA,BCAT2
1086,ATP12A,NPY
1087,ATP12A,PPIB
1088,BCAT2,CREB3
1089,DDIT3,DGCR2
1090,CHD1L,NR4A1
1091,ORC5,STAB1
1092,PIK3R2,STAB1
1093,AGPAT2,PHRF1
1094,FLNA,ASB2
1095,HNRNPD,FLNA
