,INTERACTOR_A,INTERACTOR_B
885,AGO4,SLC25A22
886,BCL6,HDAC4
887,DGCR8,HNRNPU
888,TJP1,SPTAN1
889,HDAC5,QARS
890,PPP1R3C,NHLRC1
891,SPG20,DYNC1H1
892,RBM39,HNRNPU
893,EPM2A,NHLRC1
894,EPM2A,PRKAA2
895,EPM2A,PRKAB2
896,PRKAA2,EPM2A
897,PRKAA2,EPM2A
898,NOP56,HNRNPU
899,DYRK2,HNRNPU
900,STAU1,HNRNPU
901,STAU1,HNRNPU
902,YWHAG,HDAC4
903,Tubg1,DYNC1H1
904,Cdk1,FOLR1
905,Cep76,FOLR1
906,Haus4,GNAO1
907,Dync1h1,FOLR1
908,Trim69,HNRNPU
909,Poc1b,FOLR1
910,Cbx1,FOLR1
911,Dynll1,DYNC1H1
912,Ybx1,HNRNPU
913,Recql4,HNRNPU
914,Dync1h1,DYNC1H1
915,Cdk1,HNRNPU
916,Trim69,FOLR1
917,Ctcf,HNRNPU
918,AI837181,HNRNPU
919,Dync1i2,DYNC1H1
920,Cdk1,DYNC1H1
921,Ndc80,HNRNPU
922,Ckap5,DYNC1H1
923,Bub1b,ASAH1
924,SIRT1,DYNC1H1
925,PTEN,EEF1A2
926,IKBKB,HNRNPU
927,HNRNPU,NFKBIA
928,HNRNPU,IKBKB
929,DISC1,SPTAN1
930,DISC1,DYNC1H1
931,CEP63,SPTAN1
932,EXOC1,SPTAN1
933,TNIK,CNKSR2
934,TNIK,DYNC1H1
935,EBNA-LP,ALDH5A1
936,EBNA-LP,QARS
937,EBNA-LP,HNRNPU
938,TRAF6,FOXG1
939,MAPK1,CTSD
940,EIF2AK2,PURA
941,HNRNPU,BTRC
942,PSMA3,ASAH1
943,DNM2,DNM1
944,GSK3B,QARS
945,CSNK2B,CHRNA4
946,FAM118B,QARS
947,KCNE3,QARS
948,H2AFX,QARS
949,SPRY2,CSTB
950,TK1,QARS
951,MAPK6,EEF1A2
952,MAPK6,SPTAN1
953,MAPK6,CERS1
954,CDKN1A,QARS
955,CDK4,QARS
956,LAMTOR3,QARS
957,STK3,QARS
958,SMN1,QARS
959,DPPA4,QARS
960,PIN1,QARS
961,PIK3R3,QARS
962,TTR,QARS
963,ANXA7,QARS
964,TSC22D1,QARS
965,GADD45A,QARS
966,KRIT1,PLCB1
967,HDAC4,NFKB1
968,HDAC4,SF1
969,NEDD4L,KCNB1
970,NHLRC1,DVL2
971,DVL2,NHLRC1
972,NHLRC1,DVL2
973,NHLRC1,DVL2
974,VHL,COL4A1
975,VHL,HNRNPU
976,NHLRC1,NNAT
977,NNAT,NHLRC1
978,RNF146,HNRNPU
979,RAD21,CSTB
980,SMARCAD1,HNRNPU
981,NEDD4L,KCNB1
982,SREK1,HNRNPU
983,CLNS1A,WDR45
984,CLNS1A,WDR45
985,VLDLR,RELN
986,LRP8,RELN
987,KDM4B,HNRNPU
988,RAD21,HNRNPU
989,NDRG1,HNRNPU
990,DYNC1H1,CSNK2B
991,HDGF,HNRNPU
992,CENPA,HNRNPU
993,NRXN1,PDZD2
994,NRXN1,SIPA1L1
995,NRXN1,MYO16
996,NRXN1,MACF1
997,CNTNAP2,CTR9
998,CNTNAP2,ZMIZ1
999,CNTNAP2,MACF1
1000,HNRNPU,POLR2A
1001,HDAC4,KDM5B
1002,KDM5B,HDAC4
1003,ACTB,HNRNPU
1004,ITSN2,SYN1
1005,ACTB,HNRNPU
1006,GTF2F1,HNRNPU
1007,POLR2A,HNRNPU
1008,ELAVL1,CASK
1009,ELAVL1,ZEB2
1010,ELAVL1,MECP2
1011,ELAVL1,HDAC4
1012,ELAVL1,IQSEC2
1013,ELAVL1,SIK1
1014,ELAVL1,PNPO
1015,ELAVL1,PIGA
1016,MECP2,SIN3A
1017,MECP2,CBX5
1018,SF3A2,HNRNPU
